[train-128/1000] [acc-0.9989, loss-0.0003] [4437/4442]
[val-128/1000] [acc-0.8330, loss-0.0546] [1222/1467]
[train-129/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-129/1000] [acc-0.8371, loss-0.0505] [1228/1467]
[train-130/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-130/1000] [acc-0.8398, loss-0.0579] [1232/1467]
[train-131/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-131/1000] [acc-0.8303, loss-0.0571] [1218/1467]
[train-132/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-132/1000] [acc-0.8303, loss-0.0561] [1218/1467]
[train-133/1000] [acc-0.9986, loss-0.0002] [4436/4442]
[val-133/1000] [acc-0.8494, loss-0.0528] [1246/1467]
[train-134/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-134/1000] [acc-0.8330, loss-0.0537] [1222/1467]
[train-135/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-135/1000] [acc-0.8425, loss-0.0511] [1236/1467]
[train-136/1000] [acc-0.9989, loss-0.0002] [4437/4442]
[val-136/1000] [acc-0.8303, loss-0.0527] [1218/1467]
[train-137/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-137/1000] [acc-0.8364, loss-0.0523] [1227/1467]
[train-138/1000] [acc-0.9986, loss-0.0002] [4436/4442]
[val-138/1000] [acc-0.8309, loss-0.0543] [1219/1467]
[train-139/1000] [acc-0.9989, loss-0.0002] [4437/4442]
[val-139/1000] [acc-0.8371, loss-0.0536] [1228/1467]
[train-140/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-140/1000] [acc-0.8344, loss-0.0528] [1224/1467]
[train-141/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-141/1000] [acc-0.8309, loss-0.0546] [1219/1467]
[train-142/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-142/1000] [acc-0.8364, loss-0.0528] [1227/1467]
[train-143/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-143/1000] [acc-0.8364, loss-0.0532] [1227/1467]
[train-144/1000] [acc-0.9986, loss-0.0003] [4436/4442]
[val-144/1000] [acc-0.8344, loss-0.0527] [1224/1467]
[train-145/1000] [acc-0.9991, loss-0.0001] [4438/4442]
[val-145/1000] [acc-0.8357, loss-0.0516] [1226/1467]
[train-146/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-146/1000] [acc-0.8378, loss-0.0543] [1229/1467]
[train-147/1000] [acc-1.0000, loss-0.0001] [4442/4442]
[val-147/1000] [acc-0.8405, loss-0.0525] [1233/1467]
[train-148/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-148/1000] [acc-0.8439, loss-0.0525] [1238/1467]
[train-149/1000] [acc-0.9991, loss-0.0001] [4438/4442]
[val-149/1000] [acc-0.8364, loss-0.0535] [1227/1467]
[train-150/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-150/1000] [acc-0.8344, loss-0.0538] [1224/1467]
[train-151/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-151/1000] [acc-0.8337, loss-0.0552] [1223/1467]
[train-152/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-152/1000] [acc-0.8378, loss-0.0521] [1229/1467]
[train-153/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-153/1000] [acc-0.8337, loss-0.0524] [1223/1467]
[train-154/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-154/1000] [acc-0.8391, loss-0.0537] [1231/1467]
[train-155/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-155/1000] [acc-0.8357, loss-0.0519] [1226/1467]
[train-156/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-156/1000] [acc-0.8378, loss-0.0533] [1229/1467]
[train-157/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-157/1000] [acc-0.8425, loss-0.0487] [1236/1467]
[train-158/1000] [acc-0.9991, loss-0.0001] [4438/4442]
[val-158/1000] [acc-0.8425, loss-0.0526] [1236/1467]
[train-159/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-159/1000] [acc-0.8364, loss-0.0548] [1227/1467]
[train-160/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-160/1000] [acc-0.8296, loss-0.0559] [1217/1467]
[train-161/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-161/1000] [acc-0.8309, loss-0.0508] [1219/1467]
[train-162/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-162/1000] [acc-0.8439, loss-0.0525] [1238/1467]
[train-163/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-163/1000] [acc-0.8350, loss-0.0550] [1225/1467]
[train-164/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-164/1000] [acc-0.8398, loss-0.0529] [1232/1467]
[train-165/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-165/1000] [acc-0.8357, loss-0.0540] [1226/1467]
[train-166/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-166/1000] [acc-0.8364, loss-0.0537] [1227/1467]
[train-167/1000] [acc-1.0000, loss-0.0001] [4442/4442]
[val-167/1000] [acc-0.8371, loss-0.0545] [1228/1467]
[train-168/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-168/1000] [acc-0.8371, loss-0.0534] [1228/1467]
[train-169/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-169/1000] [acc-0.8384, loss-0.0510] [1230/1467]
[train-170/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-170/1000] [acc-0.8439, loss-0.0544] [1238/1467]
[train-171/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-171/1000] [acc-0.8364, loss-0.0539] [1227/1467]
[train-172/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-172/1000] [acc-0.8344, loss-0.0562] [1224/1467]
[train-173/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-173/1000] [acc-0.8364, loss-0.0571] [1227/1467]
[train-174/1000] [acc-0.9982, loss-0.0003] [4434/4442]
[val-174/1000] [acc-0.8405, loss-0.0522] [1233/1467]
[train-175/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-175/1000] [acc-0.8337, loss-0.0549] [1223/1467]
[train-176/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-176/1000] [acc-0.8296, loss-0.0562] [1217/1467]
[train-177/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-177/1000] [acc-0.8296, loss-0.0587] [1217/1467]
[train-178/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-178/1000] [acc-0.8398, loss-0.0500] [1232/1467]
[train-179/1000] [acc-0.9991, loss-0.0001] [4438/4442]
[val-179/1000] [acc-0.8316, loss-0.0570] [1220/1467]
[train-180/1000] [acc-0.9982, loss-0.0003] [4434/4442]
[val-180/1000] [acc-0.8350, loss-0.0538] [1225/1467]
[train-181/1000] [acc-1.0000, loss-0.0001] [4442/4442]
[val-181/1000] [acc-0.8309, loss-0.0541] [1219/1467]
[train-182/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-182/1000] [acc-0.8269, loss-0.0537] [1213/1467]
[train-183/1000] [acc-0.9984, loss-0.0003] [4435/4442]
